review_id,message_id,original_label,text_judgment,a_risk_bucket,seed,fold,role,arm,probability,prediction
review-0056707322867f9e,msg-bfebdfbc523c88d22afe,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.049464340400010756,0
review-01692c85b4c6e394,msg-86b2b582f59b8ef3cb9d,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.16976103375064136,0
review-0191505287bc42c3,msg-125422950bbf2894b298,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.09351778338244603,0
review-019e598ca75a2604,msg-51d91745aaf7c70cfe66,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.06876280425521361,0
review-01daae558c8120c5,msg-a5fe2c7068a39a897fd5,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.12429634230644586,0
review-0364c25d14e8bb7d,msg-ba7ace3a75e45b91726c,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.9051139501067497,1
review-062650e5c03db7b3,msg-736f82ab7ef68bca67fc,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.28631597391681485,0
review-0651a6827875d503,msg-6dcdcd189e5593455a49,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.9060963757597014,1
review-075ea585da5cae15,msg-7013d5e6af2e769f406d,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.9006108069023845,1
review-07c0fb876beabf4b,msg-cdcf2dfc7474190999c3,smishing,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.5121209953655461,0
review-0822c98e66707747,msg-29c545e52c9813e635fa,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.11107948500300122,0
review-09f8a52a643bde75,msg-a190594f2bffb92ea5e6,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.20104493936930073,0
review-0ba297695cc9a600,msg-593cd80d2ef7e33546ac,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.29415020207162623,0
review-0bc7f01b43b4a4f4,msg-4d26af1bd51a813c0839,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.12107833116418809,0
review-0bfbacbb2760394c,msg-ccf0e6a8ef2af65aced4,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.5960207950058378,1
review-0c756099e821ef26,msg-3de91ab063f18e6782bf,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.2646389405456367,0
review-0cf62fd6142f6cb4,msg-2c0ffb2240bce4f0412b,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.7138487954289224,1
review-10dcb33dda6d5472,msg-1de8402778c0caa023de,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.908831581978426,1
review-10e329e8873017e2,msg-4d92830c608f0547ddb4,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.5969419442777802,1
review-10f0da95f3fdd21e,msg-58b952e19b37c0bc3c3c,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.11724500835518901,0
review-127bc1671c3021e3,msg-b3d3b6b29fae9b4cd139,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.31362725305413075,0
review-12aedba2ef212671,msg-52cabfe559de650270d0,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.9231755624269399,1
review-13e7350b6f9c843d,msg-6ef4e4d3849c3f2458f9,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.1157046452444385,0
review-143e404949a72860,msg-9ab97598b92cc2549f26,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.8931807717785084,1
review-1502532d7fb02e2b,msg-51961afc9b6d2bb950c4,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.42912373960393374,0
review-1538fa93f259c264,msg-1d4f07b23c605c358a53,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.2188191055156696,0
review-17bb16430527761d,msg-8a95db5cf464c51ec8bb,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.37243498492340804,0
review-1820dec42f5ec2ca,msg-04d0a9cdecc5e27abe30,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.6182902871471023,1
review-19d11b9f743aa049,msg-58f85354ff60f8afada7,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.5842883103398783,1
review-1a4aa7992820ca2a,msg-f6bc1ff296dcef8d3f5e,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.6940071825325562,1
review-1b29308cb4906d02,msg-7894af8fe183ef59232f,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.8545411297800403,1
review-1bcdb8b5e4902f77,msg-6b0f921297bf6036cdd4,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.0771012582218415,0
review-1c42c25c32f5bd82,msg-397c7d1d69e93306e43f,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.8168231109012936,1
review-1e450b71c02e190a,msg-fde8fe5d8c4f6fbf52c2,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.5403789524401553,1
review-1e479c4a302f356c,msg-1306cfdbb1eb6413c2f3,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.13404370236760546,0
review-1e68018ab3a2b26e,msg-c93b3c338ad73e40adfd,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.17627435250933515,0
review-1f07a8c7cd26df2c,msg-cada766d88b515618679,normal,insufficient_context,a_not_risky_request_visible,42,0,development_readout,A,0.10605391560965832,0
review-2015b61fb97f2965,msg-3649a91b276a45d342c6,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.1458589797184368,0
review-21e2a2729d0906e0,msg-2f204be55b7d47704b0f,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.17594787504147946,0
review-220daefcb5d386ed,msg-e3ec894bf4e93e8c550e,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.7619709514161261,1
review-22f7bb9e3da427de,msg-6f925e06a88f8d1cfd58,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.3704482507111522,0
review-23e4e9eb29dd8f93,msg-22e08f4c05ba067b383e,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.21270411232234,0
review-25104a7eec1f7831,msg-f98da8116216cda9e3fe,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.6944930300301545,1
review-256d1c0f349382b5,msg-b0438b6ad1731edd6ad6,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.12109925292469001,0
review-2579df062aafc741,msg-fa2ff4bb2e3dd2a0cead,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.4086061942078982,0
review-25ec7d62ea3d7444,msg-7f85a9711cbc0aa393d6,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.18454861036276957,0
review-260a39866b3feb51,msg-81198fc0b9b05d10f4d1,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.09656621617132433,0
review-270f57eba07d36f4,msg-aa1ffdd49e000415678a,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.6198397031821435,1
review-27c93b924b9803a0,msg-18949d0a510e2e71cd5c,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.7505623599878537,1
review-2ba16080ec46773d,msg-24c361e6f72073321220,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.07479322696556732,0
review-2d707fce0fb4702c,msg-e94fec8af385dc5ff556,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.1417620018231977,0
review-2dcd34cb42910200,msg-97b2b6ee95ed7d920877,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.4758642217404479,0
review-2dd7b92c08e4f5c4,msg-42c7b3575f8a9da0d8d1,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,2,development_readout,A,0.0907578663759533,0
review-2f31bd2c29ca07dd,msg-4301d7c49f5367242765,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.09144514634844969,0
review-31a75727a167d60d,msg-f9061a931aba0d307ce6,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.5149633490220732,0
review-326317e54a445bed,msg-df3f29c9891147e7f846,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.9449984128108605,1
review-3398cc98a1b87648,msg-e33a5ed03522052013db,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.6444667929965284,1
review-3423b715646fd583,msg-65bffe175e1d5b55382e,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.9244994860087723,1
review-344682f2618ba8f9,msg-e5b4405ee48a541eecc0,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,0,development_readout,A,0.21381148576940887,0
review-34c4c16cb5ea9aaf,msg-62610653bf85e35feeff,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.9017743779358217,1
review-364329807a65a090,msg-0be5e1e2bd038f3a1a24,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.46338271124326286,0
review-370202b258208735,msg-fc0286653fb100798da2,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.3888522045720981,0
review-37962ff6cab628b9,msg-f745187c052997452a1e,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.6670271909650021,1
review-37bb8af10a6775e3,msg-c1aa2ee82e014406c58e,smishing,insufficient_context,a_not_risky_request_visible,42,0,development_readout,A,0.46191846887996335,0
review-37c64855b20334c3,msg-000be99f5f9d9c3967c4,normal,insufficient_context,a_not_risky_request_visible,42,2,development_readout,A,0.08572810982324791,0
review-383246308e1d9552,msg-2536b5c581cb3fe10fe2,normal,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.08094272850450121,0
review-39e0fa05577bfbae,msg-551d213c037c9c6eab04,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.9056102235801688,1
review-3a343dbd60efe3c5,msg-e91ad896bc07a339c9ae,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,0,development_readout,A,0.11166808030276947,0
review-3a3a0c9003eb78d2,msg-9b70e92fb8b03ad7c610,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.2758090260727384,0
review-3b5a82f01656ae5e,msg-4c9bb8aab19cd59ba6b7,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,0,development_readout,A,0.07132741663318394,0
review-3c542b2889f7ee41,msg-ab4e24de8042cbea05d6,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.923321205104781,1
review-3c6ae33a89ac17a5,msg-c098e4b7c32dc66b6582,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.884275524150444,1
review-3ec3c8e07bb7e369,msg-f5bfb9971a76c287fdd5,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.1321313613971866,0
review-3f1aad6856711dea,msg-d3a618b40117b1875806,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,1,development_readout,A,0.08039681878502801,0
review-40617332c72b6a65,msg-75bccb25272a125ae624,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.7588137003633025,1
review-40eb85d72dbb3fa3,msg-4273962397b78faae1de,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.8465178521655532,1
review-40f65d491fbb6c91,msg-29618cee18396e8a8e81,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.6128873628168059,1
review-417d1a94491a5069,msg-a24654d3ad544c08124e,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,0,development_readout,A,0.08537178184309265,0
review-419f917f2243e05b,msg-f80f31e80e69da69dd6c,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.09165415271377443,0
review-41e7242cf53f7aec,msg-414effb98a09982ec13d,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,0,development_readout,A,0.11834756219669243,0
review-44d5803b821bc077,msg-382f83f816817c259074,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.6365527840207421,1
review-4532712bae1263a4,msg-f2d213d6e51419f0c0c3,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.8865482732223152,1
review-46f3555593434e8a,msg-ef6fd44a32790af20571,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.9211321904054633,1
review-47389333283368dc,msg-32e17f91821e085e067c,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.7747058241400834,1
review-48f7182245c9e551,msg-a52c445339e75c5638c4,smishing,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.3963304524310075,0
review-49db2f3969f4dab7,msg-d9f951c82ea54b25ac30,normal,promotion_without_clear_scam_request,a_not_risky_request_visible,42,1,development_readout,A,0.11633560643928449,0
review-4a4a9ac934622b9e,msg-77e7ed6fee4ff6e6b3c0,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,2,development_readout,A,0.5889835580991563,1
review-4aafcfede478ed2e,msg-42b716ae90c55a680465,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.7229107417228163,1
review-4b0f3b3c6f3029e0,msg-095a369060c7ff33c341,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.8483019308706458,1
review-4bb32c9d9587eb5b,msg-32a5ea1e4acbac97b230,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.45834899337040474,0
review-4bc7fe6f6685e5b0,msg-6a306e2d77b134423cff,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.19061271848725578,0
review-4be490099efed608,msg-1ba73bfe47e950778408,smishing,risky_request_visible,a_risky_request_visible,42,1,development_readout,A,0.704719496581111,1
review-4c45e2acc43cd09c,msg-240d23c05338edc37d89,smishing,risky_request_visible,a_risky_request_visible,42,0,development_readout,A,0.904664177915194,1
review-4c7db89388133c66,msg-b366110e17c486b16b15,normal,ordinary_notice_or_conversation_possible,a_not_risky_request_visible,42,0,development_readout,A,0.13552546768237206,0
review-4cbabc8906c81322,msg-0ed0bfb82462e09cd15a,smishing,risky_request_visible,a_risky_request_visible,42,2,development_readout,A,0.8441524287359268,1
